algoritmo,distribucion,n,U,promedio_seg,desviacion_seg,throughput,memoria_kb
RadixSort,duplicados,1000000,1024,0.0156456,0.000113593,6.39158e+07,11892
std::sort,duplicados,1000000,1024,0.027081,0.000667942,3.69263e+07,7984
DialSort,ascendente,1000000,1024,0.036615,0.000961154,2.73112e+07,39100
RadixSort,ascendente,1000000,1024,0.0181754,0.000868563,5.50194e+07,11892
std::sort,ascendente,1000000,1024,0.00784183,3.80553e-05,1.27521e+08,7984
DialSort,descendente,1000000,1024,0.0310968,0.00345623,3.21577e+07,39100
RadixSort,descendente,1000000,1024,0.0170028,0.000426686,5.88139e+07,39100
std::sort,descendente,1000000,1024,0.00798713,7.98274e-05,1.25201e+08,39100
DialSort,uniforme,1000000,65536,0.201284,0.0174292,4.96811e+06,40612
RadixSort,uniforme,1000000,65536,0.0133014,0.000701847,7.518e+07,20608
std::sort,uniforme,1000000,65536,0.0655084,0.000836227,1.52652e+07,20608
DialSort,casi-ordenado,1000000,65536,0.0526159,0.000994704,1.90056e+07,20608
RadixSort,casi-ordenado,1000000,65536,0.0155086,0.000206525,6.44805e+07,20608
std::sort,casi-ordenado,1000000,65536,0.0136493,0.000148159,7.32638e+07,20608
DialSort,duplicados,1000000,65536,0.227723,0.0222507,4.3913e+06,19436
RadixSort,duplicados,1000000,65536,0.016393,0.000794889,6.10016e+07,11892
std::sort,duplicados,1000000,65536,0.0365326,0.000714596,2.73728e+07,7984
DialSort,ascendente,1000000,65536,0.0466113,0.000908269,2.1454e+07,8112
RadixSort,ascendente,1000000,65536,0.0167839,9.28931e-05,5.95808e+07,11892
std::sort,ascendente,1000000,65536,0.012182,0.000202758,8.20885e+07,7984
DialSort,descendente,1000000,65536,0.0426711,0.00375665,2.34351e+07,40612
RadixSort,descendente,1000000,65536,0.0154945,0.000263418,6.45389e+07,40612
std::sort,descendente,1000000,65536,0.0127228,0.00085006,7.8599e+07,40612
